"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Snack Foods","Frozen Entrees","Dairy","Fruit","Cleaning Supplies","Pain Relievers","","","","","","","","","","","",""
"Vegetables","Baking Goods","Bread","Fruit","","","","","","","","","","","","","",""
"Canned Soup","Paper Products","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","Hardware","Plastic Products","Meat","","","","","","","","","","","","","",""
"Canned Oysters","Vegetables","","","","","","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Frozen Entrees","Frozen Desserts","Fruit","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","Pizza","Carbonated Beverages","Canned Soup","Meat","Hardware","","","","","","","","","",""
"Jams and Jellies","Carbonated Beverages","Vegetables","Snack Foods","Eggs","Cleaning Supplies","Hygiene","","","","","","","","","","",""
"Paper Products","Dairy","Baking Goods","Canned Clams","","","","","","","","","","","","","",""
"Beer and Wine","Bread","Electrical","Kitchen Products","","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","Meat","Cleaning Supplies","Bathroom Products","Hot Beverages","Pizza","","","","","","","","","","",""
"Snack Foods","Bread","Jams and Jellies","Meat","","","","","","","","","","","","","",""
"Meat","Pizza","Dairy","Canned Tuna","Vegetables","Breakfast Foods","","","","","","","","","","","",""
"Pain Relievers","Electrical","Drinks","Fruit","","","","","","","","","","","","","",""
"Meat","Specialty","Bathroom Products","Frozen Desserts","","","","","","","","","","","","","",""
"Hardware","Jams and Jellies","Beer and Wine","Fruit","Baking Goods","Candy","Dairy","","","","","","","","","","",""
"Snack Foods","Eggs","Decongestants","Jams and Jellies","Starchy Foods","Fruit","Vegetables","","","","","","","","","","",""
"Magazines","Dairy","","","","","","","","","","","","","","","",""
"Dairy","Side Dishes","Drinks","Baking Goods","Meat","Snack Foods","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Cleaning Supplies","Meat","","","","","","","","","","","","","",""
"Hygiene","Dairy","Hardware","Snack Foods","","","","","","","","","","","","","",""
"Electrical","Bread","Specialty","Fruit","Plastic Products","Vegetables","","","","","","","","","","","",""
"Carbonated Beverages","Dairy","Snack Foods","","","","","","","","","","","","","","",""
"Vegetables","Baking Goods","Dairy","Hygiene","Snack Foods","Bathroom Products","","","","","","","","","","","",""
"Vegetables","Canned Tuna","Magazines","Beer and Wine","","","","","","","","","","","","","",""
"Meat","Decongestants","Kitchen Products","Beer and Wine","Canned Clams","Snack Foods","Baking Goods","Side Dishes","Plastic Products","Starchy Foods","Packaged Vegetables","Vegetables","Canned Soup","","","","",""
"Carbonated Beverages","Frozen Entrees","Snack Foods","","","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Vegetables","","","","","","","","","","","","","","",""
"Eggs","Meat","","","","","","","","","","","","","","","",""
"Kitchen Products","Breakfast Foods","Canned Soup","Vegetables","","","","","","","","","","","","","",""
"Bread","Hardware","Hygiene","","","","","","","","","","","","","","",""
"Meat","Specialty","Dairy","Baking Goods","","","","","","","","","","","","","",""
"Candy","Meat","Snack Foods","Jams and Jellies","Cleaning Supplies","Baking Goods","Dairy","Pure Juice Beverages","","","","","","","","","",""
"Dairy","Side Dishes","Vegetables","Jams and Jellies","Snack Foods","Canned Oysters","Electrical","Hardware","Breakfast Foods","Specialty","","","","","","","",""
"Vegetables","Pizza","Breakfast Foods","Jams and Jellies","Electrical","Snack Foods","Meat","Frozen Desserts","Canned Soup","","","","","","","","",""
"Fruit","Cleaning Supplies","Electrical","Paper Products","Carbonated Beverages","Canned Soup","Bread","Bathroom Products","","","","","","","","","",""
"Snack Foods","Paper Products","","","","","","","","","","","","","","","",""
"Canned Soup","Dairy","Breakfast Foods","Electrical","Fruit","Jams and Jellies","Canned Tuna","Vegetables","Paper Products","","","","","","","","",""
"Jams and Jellies","Bread","Fruit","Vegetables","Candy","Meat","Snack Foods","","","","","","","","","","",""
"Bread","Vegetables","Snack Foods","","","","","","","","","","","","","","",""
"Dairy","Canned Soup","Drinks","Magazines","Meat","Beer and Wine","Specialty","","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Meat","Electrical","","","","","","","","","","","","","","","",""
"Electrical","Candy","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Fruit","Baking Goods","Canned Clams","Carbonated Beverages","","","","","","","","","","","",""
"Vegetables","Specialty","Canned Tuna","Starchy Foods","Eggs","Electrical","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Dairy","Meat","Bread","","","","","","","","","","","","",""
"Electrical","Fruit","Paper Products","","","","","","","","","","","","","","",""
"Jams and Jellies","Meat","","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Breakfast Foods","Hot Beverages","Magazines","Canned Anchovies","","","","","","","","","","","",""
"Pizza","Fruit","Vegetables","Plastic Products","Hygiene","Meat","Specialty","","","","","","","","","","",""
"Meat","Bread","Magazines","Baking Goods","","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Pure Juice Beverages","Bread","Canned Soup","Meat","","","","","","","","","","","",""
"Fruit","Cleaning Supplies","Hardware","Paper Products","Snack Foods","","","","","","","","","","","","",""
"Kitchen Products","","","","","","","","","","","","","","","","",""
"Fruit","Snack Foods","Baking Goods","Dairy","","","","","","","","","","","","","",""
"Side Dishes","Carbonated Beverages","Jams and Jellies","Paper Products","Drinks","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Jams and Jellies","Canned Soup","Electrical","Drinks","","","","","","","","","","","",""
"Frozen Desserts","Bread","Breakfast Foods","Meat","Snack Foods","Dairy","","","","","","","","","","","",""
"Fruit","Hygiene","Magazines","Specialty","Drinks","Breakfast Foods","Meat","Frozen Entrees","","","","","","","","","",""
"Snack Foods","Electrical","","","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Pizza","Hygiene","Magazines","Baking Goods","","","","","","","","","","","",""
"Fruit","Meat","Kitchen Products","Specialty","Canned Shrimp","Bread","Starchy Foods","","","","","","","","","","",""
"Pain Relievers","Magazines","Paper Products","Snack Foods","Fruit","Starchy Foods","Frozen Desserts","","","","","","","","","","",""
"Frozen Desserts","Vegetables","Snack Foods","Dairy","Jams and Jellies","Bathroom Products","","","","","","","","","","","",""
"Canned Anchovies","Bread","Beer and Wine","Snack Foods","Candy","Fruit","","","","","","","","","","","",""
"Pain Relievers","Meat","Snack Foods","Hot Beverages","Fruit","Side Dishes","","","","","","","","","","","",""
"Snack Foods","Kitchen Products","","","","","","","","","","","","","","","",""
"Vegetables","Meat","Breakfast Foods","Fruit","","","","","","","","","","","","","",""
"Breakfast Foods","Side Dishes","Vegetables","","","","","","","","","","","","","","",""
"Bathroom Products","Side Dishes","Eggs","Candy","Cold Remedies","Jams and Jellies","Frozen Desserts","Vegetables","Snack Foods","","","","","","","","",""
"Snack Foods","Drinks","","","","","","","","","","","","","","","",""
"Cold Remedies","Hygiene","Hardware","","","","","","","","","","","","","","",""
"Hot Beverages","Plastic Products","","","","","","","","","","","","","","","",""
"Vegetables","Meat","Fruit","Seafood","Kitchen Products","Cold Remedies","","","","","","","","","","","",""
"Starchy Foods","Frozen Desserts","Vegetables","Snack Foods","Meat","Baking Goods","","","","","","","","","","","",""
"Candy","Canned Tuna","Vegetables","Bathroom Products","","","","","","","","","","","","","",""
"Cold Remedies","Meat","Paper Products","","","","","","","","","","","","","","",""
"Meat","Dairy","Kitchen Products","Eggs","Pain Relievers","Frozen Desserts","","","","","","","","","","","",""
"Paper Products","Frozen Desserts","Snack Foods","Hygiene","Pain Relievers","","","","","","","","","","","","",""
"Canned Tuna","Snack Foods","Bathroom Products","Candy","Pizza","Dairy","Electrical","Beer and Wine","Meat","","","","","","","","",""
"Bathroom Products","Canned Soup","Bread","Vegetables","Snack Foods","Fruit","Pure Juice Beverages","","","","","","","","","","",""
"Electrical","Hygiene","Baking Goods","Pizza","Snack Foods","Magazines","Meat","Vegetables","Canned Shrimp","Dairy","Jams and Jellies","Paper Products","","","","","",""
"Dairy","Vegetables","","","","","","","","","","","","","","","",""
"Seafood","Beer and Wine","Jams and Jellies","Vegetables","","","","","","","","","","","","","",""
"Eggs","Kitchen Products","Snack Foods","Electrical","Canned Soup","","","","","","","","","","","","",""
"Canned Shrimp","Baking Goods","","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Meat","Cold Remedies","Magazines","Paper Products","Jams and Jellies","","","","","","","","","","",""
"Specialty","Canned Clams","Dairy","","","","","","","","","","","","","","",""
"Jams and Jellies","Dairy","Carbonated Beverages","Snack Foods","Specialty","","","","","","","","","","","","",""
"Meat","Snack Foods","Dairy","Pizza","Vegetables","Breakfast Foods","Fruit","","","","","","","","","","",""
"Candy","Vegetables","Breakfast Foods","Bread","","","","","","","","","","","","","",""
"Bathroom Products","Frozen Entrees","","","","","","","","","","","","","","","",""
"Hardware","Baking Goods","Electrical","Drinks","Vegetables","Pure Juice Beverages","","","","","","","","","","","",""
"Electrical","Vegetables","","","","","","","","","","","","","","","",""
"Dairy","Meat","Carbonated Beverages","Hot Beverages","Seafood","","","","","","","","","","","","",""
"Dairy","Hygiene","Meat","Canned Soup","Beer and Wine","","","","","","","","","","","","",""
"Candy","Vegetables","","","","","","","","","","","","","","","",""
"Vegetables","Dairy","Snack Foods","Meat","Candy","","","","","","","","","","","","",""
"Baking Goods","Breakfast Foods","Magazines","Snack Foods","Fruit","Beer and Wine","","","","","","","","","","","",""
"Meat","Frozen Desserts","Fruit","Canned Soup","Plastic Products","Vegetables","Paper Products","","","","","","","","","","",""
"Meat","Vegetables","","","","","","","","","","","","","","","",""
"Eggs","Breakfast Foods","Beer and Wine","Paper Products","Vegetables","Specialty","Pain Relievers","","","","","","","","","","",""
"Dairy","Cleaning Supplies","Kitchen Products","Candy","Snack Foods","Vegetables","","","","","","","","","","","",""
"Dairy","Carbonated Beverages","","","","","","","","","","","","","","","",""
"Meat","Bread","Electrical","","","","","","","","","","","","","","",""
"Bread","Beer and Wine","Snack Foods","","","","","","","","","","","","","","",""
"Pizza","Carbonated Beverages","Electrical","Snack Foods","","","","","","","","","","","","","",""
"Dairy","Fruit","Candy","","","","","","","","","","","","","","",""
"Jams and Jellies","Frozen Desserts","Breakfast Foods","Canned Soup","","","","","","","","","","","","","",""
"Eggs","Bread","Carbonated Beverages","Vegetables","Snack Foods","","","","","","","","","","","","",""
"Snack Foods","Kitchen Products","Electrical","Hot Beverages","Vegetables","Meat","","","","","","","","","","","",""
"Hot Beverages","Plastic Products","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","Beer and Wine","Jams and Jellies","","","","","","","","","","","","","","",""
"Vegetables","Dairy","Fruit","Side Dishes","","","","","","","","","","","","","",""
"Pizza","Breakfast Foods","Vegetables","","","","","","","","","","","","","","",""
"Jams and Jellies","Side Dishes","Starchy Foods","Vegetables","","","","","","","","","","","","","",""
"Specialty","Cold Remedies","Beer and Wine","Dairy","Vegetables","Jams and Jellies","Frozen Desserts","Pizza","","","","","","","","","",""
"Canned Soup","Pure Juice Beverages","Jams and Jellies","Electrical","Snack Foods","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Vegetables","Frozen Entrees","Canned Sardines","Hygiene","Eggs","","","","","","","","","","","","",""
"Canned Anchovies","Fruit","Snack Foods","Magazines","Carbonated Beverages","Vegetables","Bread","","","","","","","","","","",""
"Kitchen Products","Carbonated Beverages","Beer and Wine","Vegetables","Pure Juice Beverages","","","","","","","","","","","","",""
"Dairy","Breakfast Foods","Canned Tuna","Baking Goods","","","","","","","","","","","","","",""
"Vegetables","Drinks","Hygiene","Meat","Bathroom Products","","","","","","","","","","","","",""
"Drinks","Fruit","Canned Anchovies","Dairy","Jams and Jellies","","","","","","","","","","","","",""
"Beer and Wine","Dairy","Meat","Snack Foods","","","","","","","","","","","","","",""
"Frozen Desserts","Pain Relievers","Candy","Vegetables","Baking Goods","Dairy","","","","","","","","","","","",""
"Canned Soup","Beer and Wine","Canned Sardines","Carbonated Beverages","Jams and Jellies","","","","","","","","","","","","",""
"Vegetables","Paper Products","Kitchen Products","Snack Foods","Starchy Foods","Cleaning Supplies","","","","","","","","","","","",""
"Snack Foods","Bread","Side Dishes","Vegetables","Meat","Frozen Entrees","Jams and Jellies","","","","","","","","","","",""
